hs_code,HS_NAME,FIPS,LOCALE,HS_STATE,CBSA,NMCBSA,CSA,NMCSA,sem_5,sem_6,sem_8,sem_9,sem_11,sem_12,sem_14,sem_15,sem_17,sem_18,sem_20,sem_21,sem_23,sem_24,sem_26,sem_27,sem_29,sem_30,sem_32,sem_33
N-54049,HS_OUTSIDE_US_UNDETERMINED,NA,NA,NA,NA,NA,NA,NA,5,0,10,1,12,1,9,0,6,1,13,1,10,0,10,0,0,0,0,0
N-54060,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
N010328,HOOVER HIGH SCHOOL,F01073,21,AL,13820,"Birmingham, AL",142,"Birmingham-Cullman-Talladega, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N011345,MADISON COUNTY HIGH SCHOOL,F01089,41,AL,26620,"Huntsville, AL",290,"Huntsville-Decatur-Albertville, AL-TN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N012648,SPARKMAN HIGH SCHOOL,F01089,21,AL,26620,"Huntsville, AL",290,"Huntsville-Decatur-Albertville, AL-TN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N020028,WEST VALLEY HIGH SCHOOL,F02090,13,AK,21820,"Fairbanks-College, AK",N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N020037,MONROE CATHOLIC JR-SR HS,F02090,NA,AK,21820,"Fairbanks-College, AK",N,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N020075,KODIAK HIGH SCHOOL,F02150,33,AK,N,Non_CBSA,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N020365,SOUTH ANCHORAGE HIGH SCHOOL,F02020,11,AK,11260,"Anchorage, AK",N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N030047,SETON PREPARATORY HIGH SCHOOL,F04013,NA,AZ,38060,"Phoenix-Mesa-Chandler, AZ",429,"Phoenix-Mesa, AZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N030062,HAMILTON HIGH SCHOOL,F04013,11,AZ,38060,"Phoenix-Mesa-Chandler, AZ",429,"Phoenix-Mesa, AZ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N030103,COCONINO HIGH SCHOOL,F04005,13,AZ,22380,"Flagstaff, AZ",N,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N030124,FOUNTAIN HILLS HIGH SCHOOL,F04013,21,AZ,38060,"Phoenix-Mesa-Chandler, AZ",429,"Phoenix-Mesa, AZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N030128,GANADO HIGH SCHOOL,F04001,43,AZ,N,Non_CBSA,N,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N030144,DEER VALLEY HIGH SCHOOL,F04013,21,AZ,38060,"Phoenix-Mesa-Chandler, AZ",429,"Phoenix-Mesa, AZ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N030260,PEORIA HIGH SCHOOL,F04013,21,AZ,38060,"Phoenix-Mesa-Chandler, AZ",429,"Phoenix-Mesa, AZ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N030328,DESERT VISTA HIGH SCHOOL,F04013,11,AZ,38060,"Phoenix-Mesa-Chandler, AZ",429,"Phoenix-Mesa, AZ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N030348,QUEEN CREEK HIGH SCHOOL,F04013,21,AZ,38060,"Phoenix-Mesa-Chandler, AZ",429,"Phoenix-Mesa, AZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
